ID	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	
44	3	2	1	3	3	4	1	4	1	2	1	2	2	4	3	1	4	2	1	3	2	4	2	3	2	
45	3	4	1	3	2	2	1	4	3	2	1	2	2	4	3	1	4	2	1	3	2	2	1	3	1	
46	3	4	1	3	2	2	1	4	3	2	1	2	2	4	3	1	4	2	1	3	2	NA	1	3	1	
47	3	4	1	3	2	4	2	2	1	3	2	4	3	1	4	2	1	3	2	4	2	3	2	NA	NA	
48	3	4	1	3	2	4	1	4	3	2	1	3	2	4	3	1	4	2	1	3	2	3	1	3	2	
49	3	4	1	3	2	4	1	4	3	2	1	3	2	4	3	1	4	2	1	3	2	4	1	3	2	
50	3	3	2	3	3	4	1	4	3	2	1	2	2	4	2	1	3	2	1	3	3	4	1	2	3	
51	3	3	1	3	2	1	2	4	2	2	1	3	2	3	1	3	4	2	1	3	1	NA	2	2	1	
52	3	4	1	3	2	4	1	4	3	2	1	3	2	4	3	1	4	2	1	3	4	4	1	3	2	
53	3	4	1	3	2	4	2	2	1	2	2	3	3	1	4	2	1	3	2	1	3	2	1	3	2	
54	3	4	1	3	2	4	1	4	2	2	1	2	2	3	3	1	4	2	1	3	2	4	1	3	2	
55	3	4	1	3	2	4	1	4	3	2	1	3	2	4	3	1	4	2	1	3	2	4	1	3	2	
56	3	3	1	3	2	1	1	4	2	2	1	3	2	4	2	1	4	2	1	3	2	1	1	3	1	
57	3	4	1	3	2	4	1	4	2	2	1	3	2	4	3	1	1	2	1	3	2	NA	1	3	3	
58	3	4	1	3	2	4	1	4	3	2	1	3	2	4	3	1	4	2	1	3	2	4	1	3	2	
59	3	4	2	3	2	4	1	4	3	2	1	3	2	4	3	1	4	2	1	3	2	4	1	3	2	
60	3	2	1	3	2	3	1	4	3	2	1	3	2	4	3	4	2	1	4	2	3	3	2	2	3	
61	3	4	1	3	2	4	1	4	2	3	1	2	2	4	3	1	1	2	1	3	2	4	1	3	2	
62	3	4	4	3	2	4	1	4	2	2	1	2	2	4	3	1	1	2	1	3	2	3	1	3	2	
63	3	4	1	4	2	4	1	1	2	2	1	3	2	4	3	1	4	2	1	3	4	4	1	3	1	
64	3	4	1	3	2	4	1	2	1	2	1	2	2	4	3	1	1	2	1	3	2	3	1	3	2	
65	3	4	1	3	2	1	1	4	2	2	1	3	2	1	2	1	4	2	1	3	4	1	2	3	1	
66	3	4	1	3	2	2	1	4	1	2	1	2	2	4	2	1	4	2	1	2	NA	1	NA	1	1	
67	3	4	1	3	2	4	1	4	1	2	1	3	2	4	3	1	4	2	1	3	2	2	1	3	2	
68	3	4	2	3	2	4	1	2	2	2	1	2	2	4	2	1	4	2	1	3	2	2	2	2	4	
																										
